prompt_type,prompt_text,steps,lpips,gen_time_sec,image_path
Simple,"minimalist flat vector art of a single red apple on a white background, simple shapes, clean lines, high contrast, no texture, no shadow",60,0.0,8.005784273147583,../assets/quality_study_fixed_60_60/Simple_step60.png
Simple,"minimalist flat vector art of a single red apple on a white background, simple shapes, clean lines, high contrast, no texture, no shadow",50,0.1279974728822708,6.726409912109375,../assets/quality_study_fixed_60_60/Simple_step50.png
Simple,"minimalist flat vector art of a single red apple on a white background, simple shapes, clean lines, high contrast, no texture, no shadow",40,0.12042709439992905,5.452976703643799,../assets/quality_study_fixed_60_60/Simple_step40.png
Simple,"minimalist flat vector art of a single red apple on a white background, simple shapes, clean lines, high contrast, no texture, no shadow",30,0.09800295531749725,4.149937629699707,../assets/quality_study_fixed_60_60/Simple_step30.png
Simple,"minimalist flat vector art of a single red apple on a white background, simple shapes, clean lines, high contrast, no texture, no shadow",20,0.10926222056150436,2.8513545989990234,../assets/quality_study_fixed_60_60/Simple_step20.png
Simple,"minimalist flat vector art of a single red apple on a white background, simple shapes, clean lines, high contrast, no texture, no shadow",10,0.3165014386177063,1.5468931198120117,../assets/quality_study_fixed_60_60/Simple_step10.png
Simple,"minimalist flat vector art of a single red apple on a white background, simple shapes, clean lines, high contrast, no texture, no shadow",5,0.663470983505249,0.9028434753417969,../assets/quality_study_fixed_60_60/Simple_step5.png
Complex,"an immense chaotic battlefield with thousands of soldiers, dragons flying in the sky, exploding magic spells, intricate armor details, smoke, fire, lightning, hyper-realistic texture, 8k resolution, ray tracing, volumetric lighting, glowing runes, crowd scene, wide angle lens",60,0.0,8.099878787994385,../assets/quality_study_fixed_60_60/Complex_step60.png
Complex,"an immense chaotic battlefield with thousands of soldiers, dragons flying in the sky, exploding magic spells, intricate armor details, smoke, fire, lightning, hyper-realistic texture, 8k resolution, ray tracing, volumetric lighting, glowing runes, crowd scene, wide angle lens",50,0.24788889288902283,6.7984538078308105,../assets/quality_study_fixed_60_60/Complex_step50.png
Complex,"an immense chaotic battlefield with thousands of soldiers, dragons flying in the sky, exploding magic spells, intricate armor details, smoke, fire, lightning, hyper-realistic texture, 8k resolution, ray tracing, volumetric lighting, glowing runes, crowd scene, wide angle lens",40,0.21607550978660583,5.494823217391968,../assets/quality_study_fixed_60_60/Complex_step40.png
Complex,"an immense chaotic battlefield with thousands of soldiers, dragons flying in the sky, exploding magic spells, intricate armor details, smoke, fire, lightning, hyper-realistic texture, 8k resolution, ray tracing, volumetric lighting, glowing runes, crowd scene, wide angle lens",30,0.14246873557567596,4.181985378265381,../assets/quality_study_fixed_60_60/Complex_step30.png
Complex,"an immense chaotic battlefield with thousands of soldiers, dragons flying in the sky, exploding magic spells, intricate armor details, smoke, fire, lightning, hyper-realistic texture, 8k resolution, ray tracing, volumetric lighting, glowing runes, crowd scene, wide angle lens",20,0.1361343264579773,2.871077537536621,../assets/quality_study_fixed_60_60/Complex_step20.png
Complex,"an immense chaotic battlefield with thousands of soldiers, dragons flying in the sky, exploding magic spells, intricate armor details, smoke, fire, lightning, hyper-realistic texture, 8k resolution, ray tracing, volumetric lighting, glowing runes, crowd scene, wide angle lens",10,0.31943976879119873,1.558666467666626,../assets/quality_study_fixed_60_60/Complex_step10.png
Complex,"an immense chaotic battlefield with thousands of soldiers, dragons flying in the sky, exploding magic spells, intricate armor details, smoke, fire, lightning, hyper-realistic texture, 8k resolution, ray tracing, volumetric lighting, glowing runes, crowd scene, wide angle lens",5,0.5061433911323547,0.9028563499450684,../assets/quality_study_fixed_60_60/Complex_step5.png
