phase,prompt_type,prompt_text,steps,lpips,image_path
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",60,0.0,../assets/quality_study_lpips_fixed_60/Simple_coarse_step60.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",50,0.16320592164993286,../assets/quality_study_lpips_fixed_60/Simple_coarse_step50.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",40,0.16166117787361145,../assets/quality_study_lpips_fixed_60/Simple_coarse_step40.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",30,0.13647621870040894,../assets/quality_study_lpips_fixed_60/Simple_coarse_step30.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",20,0.17785274982452393,../assets/quality_study_lpips_fixed_60/Simple_coarse_step20.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",10,0.3030793368816376,../assets/quality_study_lpips_fixed_60/Simple_coarse_step10.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",5,0.45728248357772827,../assets/quality_study_lpips_fixed_60/Simple_coarse_step5.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",1,0.819904088973999,../assets/quality_study_lpips_fixed_60/Simple_coarse_step1.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",60,0.0,../assets/quality_study_lpips_fixed_60/Complex_coarse_step60.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",50,0.10295465588569641,../assets/quality_study_lpips_fixed_60/Complex_coarse_step50.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",40,0.10197778791189194,../assets/quality_study_lpips_fixed_60/Complex_coarse_step40.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",30,0.09214919805526733,../assets/quality_study_lpips_fixed_60/Complex_coarse_step30.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",20,0.13562899827957153,../assets/quality_study_lpips_fixed_60/Complex_coarse_step20.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",10,0.28035786747932434,../assets/quality_study_lpips_fixed_60/Complex_coarse_step10.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",5,0.524470865726471,../assets/quality_study_lpips_fixed_60/Complex_coarse_step5.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",1,0.7957702279090881,../assets/quality_study_lpips_fixed_60/Complex_coarse_step1.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",10,0.3030793368816376,../assets/quality_study_lpips_fixed_60/Simple_fine_step10.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",9,0.3198849558830261,../assets/quality_study_lpips_fixed_60/Simple_fine_step9.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",8,0.33423423767089844,../assets/quality_study_lpips_fixed_60/Simple_fine_step8.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",7,0.34221163392066956,../assets/quality_study_lpips_fixed_60/Simple_fine_step7.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",6,0.3920658230781555,../assets/quality_study_lpips_fixed_60/Simple_fine_step6.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",5,0.45728248357772827,../assets/quality_study_lpips_fixed_60/Simple_fine_step5.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",4,0.5699707269668579,../assets/quality_study_lpips_fixed_60/Simple_fine_step4.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",3,0.6600503325462341,../assets/quality_study_lpips_fixed_60/Simple_fine_step3.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",2,0.6776947975158691,../assets/quality_study_lpips_fixed_60/Simple_fine_step2.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",1,0.819904088973999,../assets/quality_study_lpips_fixed_60/Simple_fine_step1.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",15,0.1865701526403427,../assets/quality_study_lpips_fixed_60/Complex_fine_step15.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",14,0.21418175101280212,../assets/quality_study_lpips_fixed_60/Complex_fine_step14.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",13,0.23067572712898254,../assets/quality_study_lpips_fixed_60/Complex_fine_step13.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",12,0.2478545904159546,../assets/quality_study_lpips_fixed_60/Complex_fine_step12.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",11,0.2630493640899658,../assets/quality_study_lpips_fixed_60/Complex_fine_step11.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",10,0.28035786747932434,../assets/quality_study_lpips_fixed_60/Complex_fine_step10.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",9,0.2989882230758667,../assets/quality_study_lpips_fixed_60/Complex_fine_step9.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",8,0.3081584870815277,../assets/quality_study_lpips_fixed_60/Complex_fine_step8.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",7,0.38377252221107483,../assets/quality_study_lpips_fixed_60/Complex_fine_step7.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",6,0.48229455947875977,../assets/quality_study_lpips_fixed_60/Complex_fine_step6.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",5,0.524470865726471,../assets/quality_study_lpips_fixed_60/Complex_fine_step5.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",4,0.5647008419036865,../assets/quality_study_lpips_fixed_60/Complex_fine_step4.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",3,0.648552656173706,../assets/quality_study_lpips_fixed_60/Complex_fine_step3.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",2,0.6906428933143616,../assets/quality_study_lpips_fixed_60/Complex_fine_step2.png
fine,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",1,0.7957702279090881,../assets/quality_study_lpips_fixed_60/Complex_fine_step1.png
