phase,prompt_type,prompt_text,steps,lpips,image_path
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",150,0.0,../assets/quality_study_lpips_fixed/Simple_coarse_step150.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",100,0.20454184710979462,../assets/quality_study_lpips_fixed/Simple_coarse_step100.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",80,0.2274206429719925,../assets/quality_study_lpips_fixed/Simple_coarse_step80.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",60,0.20934723317623138,../assets/quality_study_lpips_fixed/Simple_coarse_step60.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",50,0.2705121636390686,../assets/quality_study_lpips_fixed/Simple_coarse_step50.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",40,0.268876314163208,../assets/quality_study_lpips_fixed/Simple_coarse_step40.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",30,0.24491317570209503,../assets/quality_study_lpips_fixed/Simple_coarse_step30.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",20,0.27963748574256897,../assets/quality_study_lpips_fixed/Simple_coarse_step20.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",10,0.29708176851272583,../assets/quality_study_lpips_fixed/Simple_coarse_step10.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",5,0.44097721576690674,../assets/quality_study_lpips_fixed/Simple_coarse_step5.png
coarse,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",1,0.8176741003990173,../assets/quality_study_lpips_fixed/Simple_coarse_step1.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",150,0.0,../assets/quality_study_lpips_fixed/Complex_coarse_step150.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",100,0.1978655457496643,../assets/quality_study_lpips_fixed/Complex_coarse_step100.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",80,0.13375996053218842,../assets/quality_study_lpips_fixed/Complex_coarse_step80.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",60,0.13934899866580963,../assets/quality_study_lpips_fixed/Complex_coarse_step60.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",50,0.19647210836410522,../assets/quality_study_lpips_fixed/Complex_coarse_step50.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",40,0.2025940865278244,../assets/quality_study_lpips_fixed/Complex_coarse_step40.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",30,0.1943134367465973,../assets/quality_study_lpips_fixed/Complex_coarse_step30.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",20,0.2245236337184906,../assets/quality_study_lpips_fixed/Complex_coarse_step20.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",10,0.27653002738952637,../assets/quality_study_lpips_fixed/Complex_coarse_step10.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",5,0.5072849988937378,../assets/quality_study_lpips_fixed/Complex_coarse_step5.png
coarse,Complex,"a highly detailed cyberpunk city street at night, neon signs, rain reflections, deep depth, fog, crowds, ultradetailed, masterpiece",1,0.7840789556503296,../assets/quality_study_lpips_fixed/Complex_coarse_step1.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",65,0.24073894321918488,../assets/quality_study_lpips_fixed/Simple_fine_step65.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",64,0.21067722141742706,../assets/quality_study_lpips_fixed/Simple_fine_step64.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",63,0.1338878870010376,../assets/quality_study_lpips_fixed/Simple_fine_step63.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",62,0.25629839301109314,../assets/quality_study_lpips_fixed/Simple_fine_step62.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",61,0.24129576981067657,../assets/quality_study_lpips_fixed/Simple_fine_step61.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",60,0.20934723317623138,../assets/quality_study_lpips_fixed/Simple_fine_step60.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",59,0.13061150908470154,../assets/quality_study_lpips_fixed/Simple_fine_step59.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",58,0.2367473691701889,../assets/quality_study_lpips_fixed/Simple_fine_step58.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",57,0.21851323544979095,../assets/quality_study_lpips_fixed/Simple_fine_step57.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",56,0.1711205244064331,../assets/quality_study_lpips_fixed/Simple_fine_step56.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",55,0.2638513743877411,../assets/quality_study_lpips_fixed/Simple_fine_step55.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",54,0.2286151647567749,../assets/quality_study_lpips_fixed/Simple_fine_step54.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",53,0.17691075801849365,../assets/quality_study_lpips_fixed/Simple_fine_step53.png
fine,Simple,"a close-up photo of a white cat sitting on a clean white background, minimal detail, soft lighting, studio shot",52,0.26047903299331665,../assets/quality_study_lpips_fixed/Simple_fine_step52.png
